isbn,book_title,book_author,year_of_publication,publisher
0060164115,Still Among the Living,Zachary Klein,1990,Harpercollins
0060164182,Eisenhower: A Centennial Life,Michael R. Beschloss,1990,Harpercollins
0060164190,Holy Terror: Andy Warhol Close Up,Bob Colacello,1990,HarperCollins Publishers
0060164204,Two Way Toll: A Matt Jacob Novel of Suspense,Zachary Klein,1991,Harpercollins
0060164212,365 Ways to Cook Chicken,Cheryl Sedaker,0,Harpercollins Publisher
0060164220,Coyote Waits,Tony Hillerman,1990,Harpercollins
0060164239,Coyote Waits,Tony Hillerman,1990,Harpercollins
0060164409,The Rat Becomes Light,Donald Secreast,1990,Harpercollins
0060164417,"White Trash, Red Velvet: Stories",Donald Secreast,1993,Harpercollins
006016445X,They All Laughed...: From the Light Bulbs to Lasers : The Fascinating Stories Behind the Great Inventions That Have Changed Our Lives,Ira Flatow,1992,Harpercollins
0060164522,Fruit Desserts: Delectable Seasonal Sweets,Lisa Yockelson,1991,Harpercollins
0060164549,"The Crisis Years: Kennedy and Khrushchev, 1960-1963",Michael R. Beschloss,1991,Harpercollins
0060164557,Patton: A Genius for War,Carlo D'Este,1995,Harpercollins
0060164646,"Of kinkajous, capybaras, horned beetles, seladangs, and the oddest and most wonderful mammals, insects, birds, and plants of our world",Jeanne K Hanson,1991,HarperCollins
0060164662,"28 Barbary Lane : A \Tales of the City\"" Omnibus""",Armistead Maupin,1990,HarperCollins
0060164700,Encyclopedia of Bad Taste,Jane Stern,1990,Harpercollins
0060164719,John Train's Most Remarkable Occurrences,John Train,1990,Harpercollins
0060164751,Journey of the Heart: Intimate Relationship and the Path of Love,John Welwood,1990,Pub Group West
0060164786,The Jim Chee Mysteries : Three Classic Hillerman Mysteries Featuring Officer Jim Chee: The Dark,Tony Hillerman,1990,HarperCollins
0060164832,Theo and Matilda: A Novel,Rachel Billington,1991,Harpercollins
0060164956,Love in Black and White: The Triumph of Love over Prejudice and Taboo,Mark Mathabane,1992,Harpercollins
0060165049,The Tomcat's Wife and Other Stories,Carol Bly,1991,Harpercollins
0060165170,Writings from the New Yorker: 1927-1976,E. B White,1990,HarperCollins
0060165200,The Fall of Paris: June 1940,Herbert R. Lottman,1992,HarperCollins Publishers
0060165227,Positive Solitude: A Practical Program for Mastering Loneliness and Achieving Self-Fulfillment,Rae Andre,1991,HarperCollins Publishers
0060165286,The Enlightened Mind: An Anthology of Sacred Prose,Stephen Mitchell,1991,Harpercollins
0060165294,Still Waters: A Novel of Suspense,Kerry Tucker,1991,Harpercollins
0060165308,Cold Feet: A Libby Kincaid Mystery,Kerry Tucker,1992,Harpercollins
0060165359,365 Ways to Cook Hamburger and Other Ground Meats,Rick Rodgers,1992,Cookbooks
0060165367,"365 Snacks, Hors D'Oeuvres, and Appetizers",Lonnie Gandara,1992,Cookbooks
0060165383,The Dinosaur Man: Tales of Madness and Enchantment from the Back Ward,Susan Baur,1991,HarperCollins Publishers
0060165413,Mirage: A Novel,Pauline Gedge,1991,Harpercollins
0060165472,The Man Who Changed the World: The Lives of Mikhail S. Gorbachev,Gail Sheehy,1990,Harpercollins
0060165529,Maybe the Moon: A Novel,Armistead Maupin,1992,Harpercollins
006016557X,Black Hills/White Justice: The Sioux Nation Versus the United States : 1775 to the Present,Edward Lazarus,1991,Harpercollins
0060165588,Crossings: A White Man's Journey into Black America,Walt Harrington,1993,Harpercollins
0060165731,Magic Hour,Susan Isaacs,1991,Harpercollins
0060165766,Timelock: How Life Got So Hectic and What You Can Do About It,Ralph Keyes,1991,Harpercollins
0060165839,The Back of Beyond: Travels to the Wild Places of the Earth,David Yeadon,1991,Harpercollins
0060165901,"Cathedral, Forge, and Waterwheel: Technology and Invention in the Middle Ages",Frances Gies,1994,Harpercollins
006016591X,The New Individualists: The Generation After the Organization Man,Paul Leinberger,1991,Harpercollins
0060165936,Dracula Unbound,Brian Wilson Aldiss,1991,Harpercollins
0060165979,Care of the Soul: A Guide for Cultivating Depth and Sacredness in Everyday Life,Thomas Moore,1992,HarperCollins Publishers
0060165987,Slow Hand: Women Writing Erotica,Michele Slung,1992,Harpercollins
0060166002,"Sex, Drugs, Rock and Roll",Eric Bogosian,1991,Harpercollins
0060166037,Rubbish!: The Archaeology of Garbage,William Rathje,1992,Harpercollins
006016607X,"Writing Past Dark: Envy, Fear, Distractions and other Dilemmas in the Writer's Life",Bonnie Friedman,1993,HarperCollins Publishers
0060166096,The Unmade Bed: Sensual Writing on Married Love,Laura Chester,1992,Harpercollins
0060166231,Maqroll: Three Novellas : The Snow of the Admiral/Ilona Comes With the Rain/UN Bel Morir,Alvaro Mutis,1992,Harpercollins
0060166339,Eat These Words: A Delicious Collection of Fat-Free Food for Thought,Michael Cader,1991,Harpercollins
0060166436,"365 Ways to Wok: Stir-Fries, Stews, Sautees",Linda Drachman,1993,Cookbooks
0060166495,Back to Barbary Lane: The Final Tales of the City Omnibus,Armistead Maupin,1991,HarperCollins
0060166517,"The Cooking of the Eastern Mediterranean: 215 Healthy, Vibrant, and Inspired Recipes",Paula Wolfert,1994,HarperCollins Publishers
0060166541,A Medieval Home Companion: Housekeeping in the Fourteenth Century,Tania Bayard,1991,HarperCollins Publishers
0060166622,The Dylanist: A Novel,Brian Morton,1991,Harpercollins
0060166657,Magic Hour,Susan Isaacs,1991,Harpercollins
0060166665,City of the Mind,Penelope Lively,1991,HarperCollins Publishers
0060166673,Cleopatra's Sister: A Novel,Penelope Lively,1993,Harpercollins
0060166770,The Evolving Self: A Psychology for the Third Millennium,Mihaly Csikszentmihalyi,1993,Harpercollins
0060166789,Real Magic: Creating Miracles in Everyday Life,"Wayne W., Dr. Dyer",1992,Harpercollins
0060166797,Working Vice: The Gritty True Story of Lt. Lucie J. Duvall,Tamar Hosansky,1992,Harpercollins
0060166851,The 10 Dumbest Mistakes Smart People Make and How to Avoid Them: Simple and Sure Techniques for Gaining Greater Control of Your Life,Arthur Freeman,1992,Harpercollins
0060166886,Stars Desserts,Emily Luchetti,1991,Harpercollins
0060166932,Lost Boys,Orson Scott Card,1992,Harpercollins
0060167017,"High Rise: How 1,000 Men and Women Worked Around the Clock for Five Years and Lost $200 Million Building a Skyscraper",Jerry Adler,1993,HarperCollins Publishers
0060167033,The Sweet Hereafter: A Novel,Russell Banks,1991,Harpercollins
0060167084,"Making History: The Struggle for Gay and Lesbian Equal Rights, 1945-1990 : An Oral History",Eric Marcus,1992,Harpercollins
0060167092,Orwell: The Authorized Biography,Michael Shelden,1991,Harpercollins
0060167114,Shakkai: Woman of the Sacred Garden,Lynn V. Andrews,1992,Harpercollins
0060167149,"Rituals for Our Times: Celebrating, Healing, and Changing Our Lives and Our Relationships",Evan Imber-Black,1992,Harpercollins
006016722X,The Bartender's Bible : 1001 Mixed Drinks,Gary Regan,1991,HarperCollins
0060167335,Edna St. Vincent Millay: Selected Poems : The Centenary Edition,Edna st Vincent Millay,1991,Harpercollins
0060167408,Searoad: Chronicles of Klatsand,Ursula K. Le Guin,1991,Harpercollins
0060167599,Vendetta: American Express and the Smearing of Edmond Safra,Bryan Burrough,1992,Harpercollins
006016767X,Sacred Clowns,Tony Hillerman,1993,Harpercollins
0060167688,After All These Years,Susan Isaacs,1993,Harpercollins
0060167718,Journals Mid-Fifties 1954-1958: Allen Ginsberg ; Edited by Gordon Ball,Allen Ginsberg,1995,Harpercollins
0060167769,Chinatown: A Portrait of a Closed Society,Gwen Kinkead,1992,Harpercollins
0060167785,La Storia: Five Centuries of the Italian American Experience,Jerre Gerlando Mangione,1992,HarperCollins Publishers
0060167807,Feather Crowns: A Novel,Bobbie Ann Mason,1993,Harpercollins
0060168005,"How to Live Between Office Visits: A Guide to Life, Love and Health","Bernie S., M.D. Siegel",1993,Harpercollins
0060168013,Pigs in Heaven,Barbara Kingsolver,1993,Harpercollins
0060168056,"Singing at the Top of Our Lungs: Women, Love, and Creativity",Claudia Bepko,1993,Harpercollins
0060168099,Talking to High Monks in the Snow: An Asian American Odyssey,Lydia Yuri Minatoya,1992,Harpercollins
0060168161,The Dance of Deception: Pretending and Truth-Telling in Women's Lives,"Harriet Goldhor, Ph.D. Lerner",1993,Harpercollins
0060168196,"How to Bake : Complete Guide to Perfect Cakes, Cookies, Pies, Tarts, Breads, Pizzas, Muffins,",Nick Malgieri,1995,HarperCollins
0060168218,A Medieval Book of Seasons,Marie Collins,1991,Harpercollins
0060168269,"Asimov Laughs Again: More Than 700 Favorite Jokes, Limericks, and Anecdotes",Isaac Asimov,1992,Harpercollins
0060168277,"Mythic Worlds, Modern Words: On the Art of James Joyce (Campbell, Joseph, Works.)",Joseph Campbell,1993,HarperCollins Publishers
0060168307,Sacred Clowns,Tony Hillerman,1994,Harpercollins
0060168382,"Eat More, Weigh Less: Dr. Dean Ornish's Life Choice Program for Losing Weight Safely While Eating Abundantly","Dean, M.D. Ornish",1993,Harpercollins
0060168404,365 Great Cookies and Brownies,Joanne Lamb Hayes,1993,Cookbooks
0060168412,365 Ways to Cook Fish and Shellfish,Charles Pierce,1993,Harpercollins
006016848X,"Men Are from Mars, Women Are from Venus: A Practical Guide for Improving Communication and Getting What You Want in Your Relationships",John Gray,1992,HarperCollins Publishers
006016848x,"Men Are from Mars, Women Are from Venus: A Practical Guide for Improving Communication and Getting What You Want in Your Relationships",John Gray,1992,HarperCollins Publishers
0060168528,I Hope,Raisa Gorbachev,1991,Harpercollins
0060168536,The Real Thing: Stories and Sketches,Doris May Lessing,1992,Harpercollins
0060168579,"\Yes\"" or \""No\"": The Guide to Better Decisions""",Spencer Johnson,1992,Harpercollins
0060168609,Cloudsplitter,Russell Banks,1998,HarperCollins Publishers
0060168641,What If the Moon Didn't Exist?: Voyages to Earths That Might Have Been,Neil F. Comins,1993,HarperCollins Publishers
0060168684,One Sweet Quarrel: A Novel,Deirdre McNamer,1994,Harpercollins
0060168706,The Living: A Novel,Annie Dillard,1992,Harpercollins
0060168714,Death at LA Fenice: A Novel of Suspense,Donna Leon,1992,Harpercollins
0060168757,Guest of a Sinner: A Novel,James Wilcox,1993,Harpercollins
0060168811,The Egoscue Method of Health Through Motion: A Revolutionary Program That Lets You Rediscover the Body's Power To Protect and Rejuvenate Itself,Pete Egoscue,1992,Harpercollins
0060168862,A Valley in Italy: The Many Seasons of a Villa in Umbria,Lisa St Aubin De Teran,1994,Harpercollins
0060168889,Complexification: Explaining a Paradoxical World Through the Science of Surprise,John L. Casti,1994,Harpercollins
0060168900,The August Coup: The Truth and the Lessons,Mikhail Gorbachev,1991,Harpercollins
0060168927,Wisdom's Daughters: Conversations With Women Elders of Native America,Steve Wall,1993,Harpercollins
006016896X,Fanny at Chez Panisse,Alice Waters,1992,HarperCollins Publishers
0060169028,The Christmas Cookbook (Little Kitchen Collection),Marilyn Bright,1992,Harpercollins
0060169036,The Chocolate Cookbook (Little Kitchen Collection),Patricia Lousada,1992,Harpercollins
0060169087,When Did Wild Poodles Roam the Earth?: An Imponderables Book,David Feldman,1992,Harpercollins
0060169192,Into the Garden: A Wedding Anthology : Poetry and Prose on Love and Marriage,Robert Haas,1993,Harpercollins
0060169206,Smoked: A True Story About the Kids Next Door,Leon Bing,1993,Harpercollins
0060169230,How Does Aspirin Find a Headache?: An Imponderables Book,David Feldman,1993,Harpercollins
0060169281,Soul Mates: Honoring the Mysteries of Love and Relationship,Thomas Moore,1994,Harpercollins
0060169419,"A Wing and a Prayer: The \Bloody 100Th\"" Bomb Group of the U.S. Eighth Air Force in Action over Europe in World War II""",Harry H. Crosby,1993,Harpercollins
0060169435,Hank &amp; Chloe,Jo-Ann Mapson,1993,Harpercollins
0060169443,Blue Rodeo: A Novel,Jo-Ann Mapson,1994,Harpercollins
0060169516,Eveless Eden,Marianne Wiggins,1995,Harpercollins
0060169532,"History Laid Bare: Love, Sex, and Perversity from the Ancient Etruscans to Warren G. Harding",Richard Zacks,1994,Harpercollins
0060169583,365 Ways to Cook Vegetarian,Kitty Morse,1994,Cookbooks
0060169613,365 Ways to Cook Chinese,Rosa Ross,1994,Cookbooks
0060169621,365 Great 20-Minute Recipes,Beverly Cox,1995,Cookbooks
006016963X,365 Easy Mexican Recipes (John Boswell Associates Book),Marge Poore,1994,Cookbooks
0060169699,101 Ways to Juice It!: Luscious Receipes and the Best and Most Comprehensive Guide to Fruit and Vegetable Juicing,Carol Gelles,1993,Harpercollins
0060169737,The Good Divorce: Keeping Your Family Together When Your Marriage Comes Apart,Constance Ahrons,1994,Harpercollins
0060169753,The Erotic Mind: Unlocking the Inner Sources of Sexual Passion and Fulfillment,Jack Morin,1995,Harpercollins
0060169877,Women in Praise of the Sacred: 43 Centuries of Spiritual Poetry by Women,Jane Hirshfield,1994,Harpercollins
0060169893,Medieval Lives: Eight Charismatic Men and Women of the Middle Ages,Norman F. Cantor,1994,Harpercollins
0060169966,Step by Step Organic Flower Gardening,Shepherd Ogden,1995,Harpercollins
006017000X,"Blood, Tears and Folly: An Objective Look at World War II",Len Deighton,1993,Harpercollins
0060170085,Death in a Strange Country,Donna Leon,1993,HarperCollins Publishers
0060170123,A Suitable Boy: A Novel,Vikram Seth,1993,Harpercollins
0060170166,The Infinite Plan: A Novel,Isabel Allende,1993,Harpercollins
0060170190,A Big Storm Knocked It over: A Novel,Laurie Colwin,1993,Harpercollins
0060170301,Masters of Deception: The Gang That Ruled Cyberspace,Michelle Slatalla,1995,Harpercollins
0060170328,"365 Days of Gardening: A Day-By-Day Book of More Than 1000 Terrific Facts, Tips, and Reminders",Christine Allison,1995,Harpercollins
0060170336,"The civilization of the Middle Ages: A completely revised and expanded edition of Medieval history, the life and death of a civilization",Norman F Cantor,1993,HarperCollins
0060170352,"The Wit &amp; Wisdom of Winston Churchill: A Treasury of More Than 1,000 Quotations and Anecdotes",James C. Humes,1994,Harpercollins
0060170379,For the President's Eyes Only: Secret Intelligence and the American Presidency from Washington to Bush,Christopher Andrew,1995,Harpercollins
0060170387,Fever: Sensual Stories by Women Writers,Michele Slung,1994,Harpercollins
0060170395,Speed Tribes: Days and Nights With Japan's Next Generation,Karl Taro Greenfield,1994,Harpercollins
0060170409,Modern American Memoirs,Annie Dillard,1995,Harpercollins
0060170441,"Eat Smart, Think Smart: How to Use Nutrients and Supplements to Achieve Maximum Mental and Physical Performance",Robert Haas,1994,Harpercollins
0060170484,365 Ways to Prepare for Christmas,David E. Monn,1993,Harpercollins
0060170514,The Art of Dreaming,Carlos Castaneda,1993,Harpercollins
0060170565,The Downing Street Years,Margaret Thatcher,1993,Harpercollins
0060170573,Death Beat: A Colombian Journalist's Life Inside the Cocaine Wars,Maria Jimena Duzan,1994,Harpercollins
0060170719,Finding Joy: 101 Ways to Free Your Spirit and Dance With Life,Charlotte Davis Kasl,1994,Harpercollins
0060170743,Love and the Soul: Creating a Future for Earth,Robert Sardello,1995,Harpercollins
0060170786,The Angel of History,Carolyn Forche,1994,Harpercollins
0060170794,The Year Roger Wasn't Well: A Novel,Sarah Payne Stuart,1994,Harpercollins
0060170808,The Bingo Palace,Louise Erdrich,1994,Harpercollins
0060170832,The Things That Matter Most,Cal Thomas,1994,Harpercollins
0060170875,365 One-Minute Golf Lessons: Quick and Easy Stroke-Saving Tips and Exercises,Robin McMillan,1994,HarperResource
0060170913,The Best Covered and Kettle Grills Cookbook Ever,Melanie Barnard,1994,Harpercollins
0060171049,A Mind of My Own: My Life With Robert Maxwell,Elisabeth Maxwell,1994,Harpercollins
0060171111,"Pluto, Animal Lover: A Novel",Laren Stover,1994,Harpercollins
006017112X,The Good Calorie Diet: The Revolutionary New Diet Program Based on Inhibiting Fat Formation,"Philip, Ph.D. Lipetz",1994,Harpercollins
0060171138,Andrew Wyeth: A Secret Life,Richard Meryman,1996,HarperCollins Publishers
0060171146,The Hubble Wars: Astrophysics Meets Astropolitics in the Two-Billion-Dollar Struggle over the Hubble Space Telescope,Eric J. Chaisson,1994,HarperCollins Publishers
0060171154,Beastly Tales from Here and There,Vikram Seth,1994,Harpercollins
0060171162,Sisters and Lovers,Connie Briscoe,1994,Harpercollins
0060171189,A Different Kind of Listening: My Psychoanalysis and Its Shadow,Kim Chernin,1995,Harpercollins
0060171227,How to Make Love All Night (And Drive a Woman Wild : Male Multiple Orgasm and Other Secrets for Prolonged Lovemaking),"Barbara, Ph.D. Keesling",1994,Harpercollins
0060171316,Mr. Ives' Christmas,Oscar Hijuelos,1995,Harpercollins
0060171324,The Blue Jay's Dance: A Birth Year,Louise Erdrich,1995,Harpercollins
0060171332,Creativity: Flow and the Psychology of Discovery and Invention,Mihaly Csikszentmihalyi,1996,Harpercollins
0060171405,The Power of Beauty,Nancy Friday,1996,Harpercollins
006017143X,The Night Listener,Armistead Maupin,2000,HarperCollins Publishers
006017143x,The Night Listener,Armistead Maupin,2000,HarperCollins Publishers
0060171510,A Feather on the Breath of God: A Novel,Sigrid Nunez,1995,HarperCollins Publishers
0060171545,Tao Te Ching: A New English Version,Laozi,1994,Harpercollins
006017160X,An Intimate History of Humanity,Theodore Zeldin,1995,Harpercollins
0060171626,What Your Mother Couldn't Tell You and Your Father Didn't Know: Advanced Relationship Skills for Better Communication and Lasting Intimacy,John Gray,1994,HarperCollins Publishers
0060171723,Wit and Wisdom of Benjamin Franklin: A Treasury of More Than 900 Quotations and Anecdotes,James C. Humes,1995,Harpercollins
0060171774,Necessary Lies: A Novel,Janice Daugharty,1995,Harpercollins
0060171790,Scottie the Daughter Of...: The Life of Frances Scott Fitzgerald Lanahan Smith,Eleanor Lanahan,1995,Harpercollins
0060171855,Tao of Personal Leadership,Diane Dreher,1996,HarperCollins Publishers
0060171898,The Putter's Pocket Companion,Jim McLean,1994,Harper Resource
0060171928,Mutant Message Down Under,Marlo Morgan,1994,Harpercollins
0060172037,Chez Nous: Home Cooking from the South of France,Lydie Marshall,1995,Harpercollins
0060172053,"All Madden: Hey, I'm Talking Pro Football!",John Madden,1996,Harpercollins
0060172096,The Re-Enchantment of Everyday Life,Thomas Moore,1996,Harpercollins
0060172118,Talk Sexy to the One You Love: (And Drive Each Other Wild in Bed),"Barbara, Phd Keesling",1996,Harpercollins
0060172126,"Mars and Venus in the Bedroom : Guide to Lasting Romance and Passion, A",John Gray,1995,HarperCollins
0060172134,Love &amp; Survival: The Scientific Basis for the Healing Power of Intimacy,Dean Ornish,1998,HarperCollins Publishers
0060172142,Napoleon Bonaparte: A Life,Alan Schom,1997,HarperCollins Publishers
0060172169,Shadow Ranch: A Novel,Jo-Ann Mapson,1996,Harpercollins
0060172177,Loving Chloe: A Novel,Jo-Ann Mapson,1998,HarperCollins Publishers
0060172185,Too Rich: The Family Secrets of Doris Duke,Pony Duke,1995,HarperCollins Publishers
0060172223,Cosette: The Sequel to Les Miserables,Laura Kalpakian,1995,Harpercollins
0060172231,Meditations: On the Monk Who Dwells in Daily Life,Thomas Moore,1994,Harpercollins
0060172363,After the Affair: Healing the Pain and Rebuilding Trust When a Partner Has Been Unfaithful,Janis Abrahms Spring,1996,Harpercollins
0060172479,Staying Together: The Control Theory Guide to a Lasting Marriage,William Glasser,1995,Harpercollins
0060172495,"Genesis : New Translation of the Classic Bible Stories, A",Stephen Mitchell,1996,HarperCollins
0060172509,The Between,Tananarive Due,1995,Harpercollins
0060172533,Paula,Isabel Allende,1995,Harpercollins
0060172622,Glory Days: 365 Inspired Moments in African-American History,Janus Adams,1995,Harpercollins
0060172665,Best Slow Cooker Cookbook Ever: Versatility and Inspiration for New Generation Machines,Natalie Haughton,1995,HarperCollins
006017269X,Love and Awakening: Discovering the Sacred Path of Intimate Relationship,John Welwood,1996,Harpercollins
0060172703,The Path to Power,Margaret Thatcher,1995,Harpercollins
0060172738,The Dog Who Rescues Cats: The True Story of Ginny,Philip Gonzalez,1995,Harpercollins
0060172754,Rule of the Bone: A Novel,Russell Banks,1995,Harpercollins
0060172762,Naked Sleeper: A Novel,Sigrid Nunez,1996,Harpercollins
0060172789,A Long Way from Home,Connie Briscoe,1999,HarperCollins Publishers
0060172797,America's Dream,Esmeralda Santiago,1996,Harpercollins
0060172916,High Tide in Tucson: Essays from Now or Never,Barbara Kingsolver,1995,HarperCollins Publishers
0060172940,365 All-American Favorites,Sarah Reynolds,1997,HarperCollins Publishers
0060172975,Roustabout: A Fiction,Michelle Chalfoun,1996,Harpercollins
0060173025,Threshold,Ben Mezrich,1996,Harpercollins
0060173041,Driving Under the Affluence,Julia Phillips,1995,Harpercollins
0060173076,"How Could You Do That: The Abdication of Character, Courage, and Conscience",Laura Schlessinger,1996,Harpercollins
0060173084,Ten Stupid Things Men Do to Mess Up Their Lives,Laura C. Schlessinger,1997,Harpercollins
0060173092,Ecstasy Club,Douglas Rushkoff,1997,HarperSanFrancisco
0060173114,Breaking and Entering: Women Cops Talk About Life in the Ultimate Men's Club,Connie Fletcher,1995,Harpercollins
0060173122,Answers to Lucky,Howard Owen,1996,HarperCollins Publishers
0060173149,"Everyday Cooking With Dr. Dean Ornish: 150 Easy, Low-Fat, High-Flavor Reecipes",Dean Ornish,1996,Harpercollins
0060173173,One-Pot Sunday Suppers,Pat Dailey,1996,Cookbooks
0060173181,Italian Classics in One Pot,Anna Teresa Callen,1996,Harpercollins
006017319X,"One-Pot Vegetarian Dishes (One-Pot Sunday Suppers Series , No 2)",Amy Cotler,1996,Cookbooks
0060173211,Don't Pee on My Leg and Tell Me It's Raining: America's Toughest Family Court Judge Speaks Out,Judy Sheindlin,1996,HarperCollins Publishers
006017322X,To Kill a Mockingbird,Harper Lee,1995,HarperCollins Publishers
0060173246,Angels Don't Die: My Father's Gift of Faith,Patti Davis,1995,Harpercollins
0060173289,Divine Secrets of the Ya-Ya Sisterhood : A Novel,Rebecca Wells,1996,HarperCollins
0060173300,The Fire and the Rose: Human Core Needs and Personal Transformation,"Robert Griffith, Jr, Phd Turner",1996,Harpercollins
006017336X,To Renew America,Newt Gingrich,1995,Harpercollins
0060173378,Buster Keaton: Cut to the Chase,Marion Meade,1995,Harpercollins
0060173386,"If You Can Raise Kids, You Can Get a Good Job",Katherine Wyse Goldman,1996,Harpercollins
0060173416,"Natural Woman, Natural Menopause: Complete Program for Healthy Menopause",Marcus Laux,1997,HarperCollins Publishers
0060173424,Plain Seeing: A Novel,Sandra Scofield,1997,HarperCollins Publishers
0060173432,A Chance to See Egypt,Sandra Scofield,1996,HarperCollins Publishers
0060173521,"Zen Physics: The Science of Death, the Logic of Reincarnation",David J. Darling,1996,Harpercollins
0060173629,An Easy Burden: The Civil Rights Movement and the Transformation of America,Andrew Young,1996,HarperCollins Publishers
0060173653,Senora Honeycomb: A Novel,Fanny Buitrago,1996,Harpercollins
006017367X,"The Wit &amp; Wisdom of Oscar Wilde: A Treasury of Quotations, Anecdotes, and Repartee",Oscar Wilde,1996,Harpercollins
0060173696,Slowness,Milan Kundera,1996,Harpercollins
0060173726,Saving Childhood,Michael Medved,1998,Zondervan
0060173769,Out of the Blue: Delight Comes into Our Lives,Mark Victor Hansen,1996,Harpercollins
0060173785,The American Family: Discovering the Values That Make Us Strong,Dan Quayle,1996,Harpercollins
0060173793,Pawpaw Patch: A Novel,Janice Daugharty,1996,Harpercollins
0060173858,Nathan's Run: A Novel,John Gilstrap,1996,Harpercollins
0060173890,"Frankly Scarlett, I Do Give a Damn!: Classic Romances Retold",Beverly West,1996,Harpercollins
0060173963,The Angel on the Roof: The Stories of Russell Banks,Russell Banks,2000,HarperCollins Publishers
006017403X,Gathering Storm: America's Militia Threat,Morris Dees,1996,Harpercollins
0060174056,The Tennis Partner,A. Verghese,1998,HarperCollins Publishers
0060174072,Mitz: The Marmoset of Bloomsbury,Sigrid Nunez,1998,HarperCollins Publishers
0060174102,"The Education of the Heart: Readings and Sources for Care of the Soul, Soul Mates, and the Re-Enchantment of Everyday Life",Thomas Moore,1997,Harpercollins
0060174110,The Woman Who Lives in the Earth,Swain Wolfe,1996,HarperCollins Publishers
0060174129,The Lake Dreams the Sky: A Love Story,Swain Wolfe,1998,HarperCollins Publishers
0060174153,Shelter for the Spirit: How to Make Your Home a Haven in a Hectic World,Victoria Moran,1997,Harpercollins
006017420X,Life Preservers: Staying Afloat in Love and Life,Harriet Lerner,1996,Harpercollins
0060174374,Obscene Bodies: A Novel,Kim Benabib,1996,Harpercollins
0060174390,"When in Doubt, Sing : Prayer in Daily Life",Jane Redmont,1999,HarperCollins Publishers
0060174404,What Keeps Me Here: A Book of Stories,Rebecca Brown,1996,Harpercollins
0060174471,Mind of the Raven: Investigations and Adventures With Wolf-Birds,Bernd Heinrich,1999,Ecco Press
0060174552,Cutting Loose: Why Women Who End Their Marriages Do So Well,Ashton Applewhite,1997,HarperCollins Publishers
0060174633,Twelve Golden Threads: Lessons for Successful Living from Grandma's Quilt,Aliske Webb,1996,Harpercollins
0060174714,Mars and Venus in Love: Inspiring and Heartfelt Stories of Relationships that Work,John Gray,1996,HarperCollins Publishers
0060174722,Mars and Venus on a Date: A Guide for Navigating the 5 Stages of Dating to Create a Loving &amp; Lasting Relationship,John Gray,1997,HarperCollins Publishers
0060174730,Big Girls Don't Cry,Connie Briscoe,1996,HarperCollins Publishers
0060174765,Heat Wave: A Novel,Penelope Lively,1996,Harpercollins
006017479X,Super Sexual Orgasm,Barbara Keesling,1997,HarperCollins Publishers
0060174803,The 2000 Year Old Man in the Year 2000 : The Book,Mel Brooks,1997,HarperEntertainment
0060174862,Dinosaur Lives: Unearthing an Evolutionary Saga,John R. Horner,1997,HarperCollins Publishers
0060174900,The Bell Jar (Perennial Classics),Sylvia Plath,1996,HarperCollins
0060174919,"The 3-Day Energy Fast: Cleanse Your Body, Clear Your Mind, and Claim Your Spirit",Pamela Serure,1997,HarperCollins Publishers
006017496X,The Best Defense,Ellis Cose,1998,HarperCollins Publishers
0060174978,Color-Blind: Seeing Beyond Race in a Race-Obsessed World,Ellis Cose,1997,HarperCollins Publishers
0060174986,Love Beyond Life: The Healing Power of After-Death Communications,Joel Martin,1997,HarperCollins Publishers
0060175028,Second Coming: The Strange Odyssey of Michael Jordan - From Courtside to Home Plate and Back Again,Sam Smith,1995,Harpercollins
0060175052,"Three Chords and the Truth: Hope, Heartbreak, and Changing Fortunes in Nashville",Laurence Leamer,1997,Harpercollins
0060175060,A Woman's Place: A Novel,Barbara Delinsky,1997,Harpercollins
0060175109,Powertown,Michael Lind,1996,Harpercollins
006017515X,Spider in the Sink: A Kate Mulcay Mystery (Kate Mulcay Mystery),Celestine Sibley,1997,Harpercollins
0060175184,The Fourth Estate,Jeffrey Archer,1996,Harpercollins
0060175273,Flower Net,Lisa See,1997,Harpercollins
0060175281,Manifest Your Destiny: The Nine Spiritual Principles for Getting Everything You Want,Wayne W. Dyer,1997,HarperCollins Publishers
006017529X,Season of the Swan,Evan Maxwell,1997,Harpercollins
0060175346,"The Explosive Child: A New Approach for Understanding and Parenting Easily Frustrated, \Chronically Inflexible\"" Children""",Ross W. Greene,1998,HarperCollins Publishers
0060175400,The Poisonwood Bible,Barbara Kingsolver,1999,HarperCollins
0060175427,Strange Brew: A Callahan Garrity Mystery (Callahan Garrity Mysteries (Hardcover)),Kathy Hogan Trocheck,1997,HarperCollins Publishers
0060175443,The Fifth Mountain,Paulo Coelho,1998,Harperflamingo
0060175451,How to Speak Cat: The Essential Primer of Cat Language,Alexandra Sellers,1998,HarperCollins Publishers
006017546X,Mrs. Chippy's Last Expedition: The Remarkable Journal of Shackleton's Polar-Bound Cat,Caroline Alexander,1997,Harpercollins
0060175478,Blind Bloodhound Justice (Bloodhound (Hardcover)),Virginia Lanier,1998,Harpercollins
0060175486,Ten Little Bloodhounds,Virginia Lanier,1999,HarperCollins Publishers
0060175508,"Act Now, Apologize Later",Adam Werbach,1997,HarperCollins Publishers
0060175532,Young Wives,Olivia Goldsmith,2000,HarperCollins Publishers
